BJDtcb1 BJDtcb2 BJDtdb1 BJDtdb2 RvTot
2442930 0.497343255075653 2442930 0.497346572476823 -37705.9159191634
2442940 0.498091955742993 2442940 0.498095118080578 -40143.6386638804
2442950 0.498909111457428 2442950 0.498912118730365 -41939.3836759353
2442960 0.499772489524 2442960 0.499775341731574 -43025.5877706484
2442970 0.500656952319614 2442970 0.500659649461498 -43340.7759697302
2442980 0.501537854341867 2442980 0.501540396418115 -42943.5644818175
2442990 0.502390975055348 2442990 0.502393362066392 -41788.0273288485
2443000 0.503191179426889 2443000 0.503193411373548 -39905.3102340073
2443010 0.503916290497501 2443010 0.503918367380941 -37386.5456931963
2443020 0.504545266685033 2443020 0.504547188506743 -34228.1242257248
2443030 0.505058696700547 2443030 0.50506046346232 -30553.5804209908
2443040 0.505441881427336 2443040 0.50544349313119 -26466.6128555308
2443050 0.50568210653379 2443050 0.505683563181943 -22023.119993945
2443060 0.505770882170868 2443060 0.505772183765668 -17414.7531045789
2443070 0.505705140234368 2443070 0.505706286778211 -12743.0045395915
2443080 0.505484649246269 2443080 0.505485640741554 -8123.34613181364
2443090 0.505115159284096 2443090 0.505115995733133 -3763.84340769926
2443100 0.504607185584663 2443100 0.5046078669896 254.613037318523
2443110 0.503974383434467 2443110 0.503974909797238 3785.51792795032
2443120 0.503236331756138 2443120 0.503236703078376 6672.85646035121
2443130 0.502415206015132 2443130 0.502415422298125 8882.13617576526
2443140 0.501535547442035 2443140 0.50153560868669 10286.8917060669
2443150 0.500637127734176 2443150 0.500637033940785 10842.4610439604
2443160 0.499724382230112 2443160 0.499724133398896 10578.4358842493
2443170 0.49883708759809 2443170 0.498836683728656 9437.47871135274
2443180 0.498003384594964 2443180 0.498002825686479 7503.2088415878
2443190 0.497247758347629 2443190 0.497247044398884 4859.02844834646
2443200 0.496593406807629 2443200 0.496592537817053 1536.86556824263
2443210 0.496059871877959 2443210 0.496058847843679 -2287.47806867597
2443220 0.495661471279066 2443220 0.495660292198986 -6513.72464418022
2443230 0.495409956741486 2443230 0.49540862261333 -11034.8916065093
2443240 0.495311300293715 2443240 0.495309811115111 -15649.1193650911
2443250 0.49536660504336 2443250 0.495364960811921 -20277.0474877978
2443260 0.495573941921995 2443260 0.495572142635365 -24770.2449192941
2443270 0.49592535884656 2443270 0.495923404502505 -28963.3175155402
