 an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1909.45    0.204020    0.015505    0.289779    0.016422  -0.0000053   0.0000000    0.225419    0.000000    0.018767    0.000000
   1909.50    0.260658    0.016205    0.206516    0.015492  -0.0000195   0.0000000    0.221845    0.000000    0.018510    0.000000
   1909.55    0.287900    0.013783    0.107856    0.015221   0.0000061   0.0000000    0.220089    0.000000    0.018414    0.000000
   1909.60    0.317582    0.014362    0.078618    0.016300   0.0001624   0.0000000    0.217528    0.000000    0.018374    0.000000
   1909.65    0.297765    0.015996   -0.000298    0.016576  -0.0002128   0.0000000    0.215686    0.000000    0.018522    0.000000
   1909.70    0.230396    0.020041   -0.081253    0.016230   0.0000258   0.0000000    0.216886    0.000000    0.019066    0.000000
   1909.75    0.189496    0.017807   -0.138562    0.014602   0.0001553   0.0000000    0.217593    0.000000    0.019397    0.000000
   1909.80    0.086764    0.016813   -0.191986    0.016189  -0.0002174   0.0000000    0.219223    0.000000    0.019861    0.000000
   1909.85    0.011913    0.025075   -0.230830    0.018879   0.0002170   0.0000000    0.221710    0.000000    0.021253    0.000000
   1909.90   -0.099790    0.019575   -0.198952    0.015511   0.0000863   0.0000000    0.222673    0.000000    0.022217    0.000000
   1909.95   -0.183703    0.019613   -0.173258    0.021471  -0.0000859   0.0000000    0.223971    0.000000    0.022343    0.000000
   1910.00   -0.230030    0.017877   -0.132303    0.023838   0.0001279   0.0000000    0.225636    0.000000    0.022744    0.000000
   1910.05   -0.309194    0.024311   -0.077645    0.022971   0.0000047   0.0000000    0.224852    0.000000    0.022918    0.000000
   1910.10   -0.333692    0.029346   -0.017788    0.021878  -0.0001292   0.0000000    0.224995    0.000000    0.021981    0.000000
   1910.15   -0.330156    0.018662    0.093133    0.021549   0.0000706   0.0000000    0.226264    0.000000    0.021280    0.000000
   1910.20   -0.355136    0.020049    0.105053    0.017370   0.0001198   0.0000000    0.226241    0.000000    0.020235    0.000000
   1910.25   -0.347403    0.018225    0.227527    0.020896  -0.0002429   0.0000000    0.227662    0.000000    0.019131    0.000000
   1910.30   -0.310528    0.015630    0.324034    0.017847   0.0001381   0.0000000    0.228755    0.000000    0.018832    0.000000
   1910.35   -0.214832    0.017831    0.362058    0.017192   0.0000194   0.0000000    0.227302    0.000000    0.018792    0.000000
   1910.40   -0.110882    0.024324    0.383633    0.022448  -0.0002350   0.0000000    0.227052    0.000000    0.018087    0.000000
   1910.45   -0.041887    0.017916    0.411867    0.019909   0.0001283   0.0000000    0.225142    0.000000    0.018525    0.000000
   1910.50    0.080213    0.014923    0.428814    0.018868  -0.0000377   0.0000000    0.221918    0.000000    0.019209    0.000000
   1910.55    0.180633    0.015936    0.392692    0.016702  -0.0000983   0.0000000    0.218902    0.000000    0.018464    0.000000
   1910.60    0.248577    0.015727    0.340636    0.017804   0.0000480   0.0000000    0.217564    0.000000    0.019081    0.000000
   1910.65    0.297470    0.022580    0.263100    0.020178   0.0000124   0.0000000    0.215739    0.000000    0.018825    0.000000
   1910.70    0.312801    0.016751    0.157786    0.017287  -0.0001466   0.0000000    0.215714    0.000000    0.019024    0.000000
   1910.75    0.310349    0.016244    0.055462    0.017011   0.0000873   0.0000000    0.217351    0.000000    0.020029    0.000000
   1910.80    0.286671    0.016681   -0.049538    0.015753   0.0000514   0.0000000    0.218831    0.000000    0.020223    0.000000
   1910.85    0.216432    0.020002   -0.064778    0.020207  -0.0003172   0.0000000    0.220923    0.000000    0.020601    0.000000
   1910.90    0.179197    0.022272   -0.136465    0.023701   0.0001895   0.0000000    0.222974    0.000000    0.022294    0.000000
   1910.95    0.072718    0.024667   -0.192512    0.021645  -0.0000960   0.0000000    0.223242    0.000000    0.023058    0.000000
   1911.00    0.002072    0.025933   -0.195274    0.027222  -0.0001421   0.0000000    0.224304    0.000000    0.022544    0.000000
   1911.05   -0.135758    0.022575   -0.169039    0.026699   0.0001849   0.0000000    0.225198    0.000000    0.023037    0.000000
   1911.10   -0.169761    0.022152   -0.175599    0.019660  -0.0000089   0.0000000    0.224218    0.000000    0.022648    0.000000
   1911.15   -0.235132    0.026199   -0.100921    0.022452  -0.0000321   0.0000000    0.225526    0.000000    0.020938    0.000000
   1911.20   -0.268960    0.037164   -0.028865    0.032062   0.0000854   0.0000000    0.226539    0.000000    0.020491    0.000000
   1911.25   -0.301649    0.018677    0.043186    0.016946   0.0000181   0.0000000    0.225748    0.000000    0.019470    0.000000
   1911.30   -0.312048    0.020236    0.110172    0.018552  -0.0002262   0.0000000    0.227860    0.000000    0.018322    0.000000
   1911.35   -0.293060    0.020094    0.205735    0.017807   0.0002989   0.0000000    0.227958    0.000000    0.018411    0.000000
   1911.40   -0.212775    0.023241    0.261237    0.018066   0.0000408   0.0000000    0.225368    0.000000    0.018754    0.000000
   1911.45   -0.202779    0.019365    0.367213    0.017787  -0.0002414   0.0000000    0.224507    0.000000    0.017953    0.000000
