MJD RV eRV
57590.01359141 -1177.84622220751 0.263049737560305
57590.01406481 -1163.8548252037 0.200255415438643
57590.01454007 -1170.10066398819 0.11843797790023
57590.01501417 -1184.026557829 0.0554673896618028
57590.01548897 -1187.39609724675 0.060759758168235
57590.01596307 -1185.88886131887 0.0782896005840723
57590.01643763 -1180.4716867513 0.0848311355173452
57590.01691231 -1176.24579877039 0.117049146760373
57590.01738769 -1192.50069285234 0.0469360599084362
57590.01787301 -1189.00356475057 0.0612142803177956
57604.36316231 -1203.08619124737 0.0397220290872468
57604.96537395 -1204.30580891425 0.0362807703876368
57608.96512828 -1198.85557759308 0.0425496263498203
57608.96560064 -1199.32297961492 0.0539790045212924
57608.96607636 -1202.49763316689 0.0407799673162825
57608.96654989 -1204.41851415968 0.0334816481564176
57608.96698637 -1204.54199189165 0.0348571613302711
57608.96751071 -1202.42258144426 0.0471164386628906
57608.96798515 -1204.91631849782 0.0359702672612402
57608.96840983 -1203.73450849771 0.0463778895629567
57608.96893416 -1199.96849951957 0.0581282067371242
57608.96940954 -1204.30772934815 0.0359738776869205
57608.96988318 -1202.00482819173 0.0368995342571547
57608.97035774 -1199.64310806661 0.0365954168258486
57608.97083346 -1197.51887461721 0.0370921863165822
57608.97130756 -1194.55983307652 0.049780895764796
57608.97178224 -1195.48267365112 0.0537829790451453
57608.97225576 -1195.78289389902 0.0469087633843055
57608.97273044 -1194.28037457638 0.0617541675005629
57608.97320501 -1199.26737247997 0.0435767326861073
57608.97367946 -1203.87249503129 0.039918871376524
57608.97415657 -1196.36731172523 0.0544256043397412
57608.97462893 -1197.82937902503 0.0538158293056428
57608.97510361 -1201.52045054755 0.0451423214010817
57608.97557783 -1202.03611186456 0.0570426693740205
57608.97605239 -1200.4629654095 0.0451737804979534
57608.97652765 -1201.39629531839 0.0352961972248199
57608.97700152 -1191.5475822199 0.0560080135944194
57608.97747585 -1186.13337410287 0.108515826056418
57608.9779503 -1177.74044550426 0.129168588519816
