Code;Name;Elong.rad;PhiGd.rad;height.m;x.m;y.m;z.m;PhiGc.rad;rho.m;CosPhiGc;SinPhiGc
069;Baldone;0,4259336413152;0,990877809878392;76,1772024991165;3190194,89271934;1447418,56739475;5312161,4618;0,987794918654584;6363287,15044392;0,54925;0,83287
070;Vilnius (before 1939);0,441332681305546;0,954400271872319;103,695674602847;3341403,94417689;1578511,29911301;5181154,4662;0,951228395957374;6364042,72787452;0,5794;0,81233
071;NAO Rozhen, Smolyan;0,431756408765704;0,727682219571471;1743,0308166485;4333211,98694944;1996521,26719433;4221371,959;0,724348352902189;6370463,44549853;0,74803;0,66185
072;Scheuren Observatory;0,125140107367993;0,891669720787726;-3962,26303321424;3980478,15334679;500734,035842329;4936680,36;0,88838250038697;6361269,83241017;0,629;0,774
073;Bucharest;0,455473338905204;0,775163764502019;89,4839975768561;4098260,32695823;2007424,33338189;4441098,882;0,771806327304272;6367797,84866598;0,71549;0,6963
074;Boyden Observatory, Bloemfontein;0,460868151623119;-0,506811065024208;1409,99861248949;4999630,19368721;2482468,83498805;-3078281,7082;-0,503966277471935;6374540,91408585;0,87518;-0,48263
075;Tartu;0,466379901400917;1,01891819233294;68,4111457533049;2994154,94270805;1507317,61986976;5408088,6874;1,01591493254884;6362734,74843142;0,52557;0,84791
076;Johannesburg-Hartbeespoort;0,486541944919955;-0,449819646067644;1235,89609214702;5081350,2879651;2687802,72014604;-2756951,015;-0,447195645968993;6375357,48884225;0,90127;-0,43225
077;Yale-Columbia Station, Johannesburg;0,489201826699995;-0,457053884708227;1765,2764547652;5056842,57100041;2692077,53416091;-2798472,7064;-0,454400129741217;6375765,65804309;0,89819;-0,43876
078;Johannesburg;0,490001187497408;-0,456959610104123;1826,30087609935;5054970,3963272;2696269,00157595;-2797962,4552;-0,45430626759246;6375828,27068865;0,89824;-0,43868
079;Radcliffe Observatory, Pretoria;0,492685503886975;-0,450085431258451;1555,10404818271;5064348,45485429;2718758,19836047;-2758609,3314;-0,447460451605394;6375672,26703385;0,9012;-0,43251
080;Istanbul;0,505564288437441;0,715806673597258;52,705055326427;4216766,54415775;2334189,11506164;4163522,2292;0,712482308108448;6369024,74997883;0,75566;0,65278
081;Leiden Station, Johannesburg;0,486541944919955;-0,449819646067644;1235,89609214702;5081350,2879651;2687802,72014604;-2756951,015;-0,447195645968993;6375357,48884225;0,90127;-0,43225
082;St. P~APlten;0,274995822273479;0,839293497973348;571,91306048569;4108429,89554696;1159169,27632321;4723841,8282;0,835953663938675;6366910,65082962;0,66929;0,74063
083;Golosseevo-Kiev;0,532423160296382;0,879035163578643;156,909476742562;3512469,8700725;2069465,31957479;4888908,0914;0,875733481913921;6365654,21800826;0,63918;0,76651
084;Pulkovo;0,529312983569328;1,04322021335294;88,3654595572311;2778589,13853378;1625459,40681676;5487815,4374;1,04029366354911;6362294,72430763;0,50471;0,86041
085;Kiev;0,532365564431067;0,880570143237662;177,211409088468;3506104,41236789;2065442,91422093;4895158,6686;0,877270374922736;6365642,22785893;0,638;0,76749
086;Odessa;0,53683186198692;0,811173609715511;67,4573755933919;3781141,34470522;2250275,45577134;4601955,5728;0,807819107538039;6367005,93603548;0,68987;0,72152
087;Helwan;0,547005386196795;0,521133898585302;108,639944718798;4728357,92197108;2879534,36473189;3156860,393;0,518238685870251;6372978,45099375;0,86799;0,49495
088;Kottomia;0,555451034447195;0,52240792574687;493,792428282561;4700726,86807633;2917414,4908958;3164067,6912;0,519508568442878;6373340,15681253;0,86741;0,49608
